순번	영상ID	제목	길이	상태
1	7dfbDm8Fwa8	서울 한복판 63빌딩 20개, 아파트는 안 된다? (더 큐리어스 김열매 대표)	81분	DONE
2	gRNmCDgqQIw	2천조원 가계빚 폭탄, 아파트 선분양이 낳은 괴물 (동국대학교 경제학과 박선영 교수)	83분	DONE
3	LUeLYNZqxs0	용산공원 대혈투 팩트만 뜯어봤습니다 (언더스탠딩 장순원 기자)	45분	DONE
4	ilfqdi6uYzw	"10평 더 짓게 해줄게" 이게 빌라 공급 대책? (언더스탠딩 장순원 기자)	30분	DONE
5	sVUTmmjuZ6s	300평 펜트하우스 정부가 막았다 (언더스탠딩 장순원 기자)	39분	DONE
6	sQG-R3l6_3o	세금 깎아줘야 집값 잡힙니다 (싱가포르국립대 경영대학 부동산학과 이관옥 교수) (2부)	39분	DONE
7	S_ZZxVbwK8o	한국 보유세 낮다고? 직접 계산해봤습니다 (싱가포르국립대 경영대학 부동산학과 이관옥 교수) (1부)	60분	DONE
8	yXupZjctWjM	금싸라기 아파트 왜 왕따 됐나 (언더스탠딩 장순원 기자)	33분	DONE
9	dCDjXzOojdU	재건축 조합 성과급 논란, 대안은 없나 (언더스탠딩 장순원 기자)	36분	DONE
10	poF9rvBW5PM	한강 위에 집을 짓자고? 진심인가요? (토지주택연구원 최상희 선임연구원)	72분	DONE
11	NBImj7DXYyE	전세사기 1/3 보장법, 아직도 구멍 많은 이유 (언더스탠딩 백종훈 기자)	35분	DONE
12	2BR4uXFZ2rY	부모가 준 전세금, 20년 뒤 국세청에 털립니다(2부) (세무법인 리치 이장원 세무사)	35분	DONE
13	uJlfke5FMrM	실거주 안한 1주택자 폭탄 맞나...장특공제 축소 개편논란 (언더스탠딩 백종훈 기자)	35분	DONE
14	UUq7EDvjbqY	(1부) 시골집 하나 때문에 세금 8억 나왔습니다 (세무법인 리치 이장원 세무사)	38분	DONE
15	WuKhGefGpSA	둔촌주공보다 독하다 진흙탕 성남 재개발 (언더스탠딩 장순원 기자)	53분	DONE
16	6CNYmb_cohA	상가를 주택으로 리모델링? 차라리 재건축이 쉽습니다 (언더스탠딩 장순원 기자)	35분	DONE
17	8E2JxYShT9A	지하철 믿고 산 땅, 자칫하면 10년간 피 말립니다 (김종율아카데미 김종율 대표)	71분	DONE
18	yTc15fSbXqo	기생충 촬영지 재개발 운명이 바뀐 사연  (언더스탠딩 장순원 기자)	36분	DONE
19	Vfpfkvvmy9U	반값아파트의 귀환, 16억이 3억 된다? (언더스탠딩 백종훈 기자)	42분	DONE
20	pCZvT3g5vTs	이삿날 전세사기, 40년간 방치한 이유  (언더스탠딩 장순원 기자)	38분	DONE
21	7cNWmwvs2jU	누구나 반값 아파트 싱가포르 어떻게 가능했나  (언더스탠딩 장순원 기자)	52분	
22	UbB0U966PLw	아파트 공급절벽 맞나. 오락가락 데이터 왜? (언더스탠딩 장순원 기자)	30분	DONE
23	2aCoWx43I2U	월세 27만원인데 관리비가 105만원? '꼼수 관리비' 어떻게 가능해졌나  (언더스탠딩 백종훈 기자)	30분	
24	KFYIsSjjerw	원룸 월세 500만원, 연봉 8천도 쫓겨나는 '뉴욕'의 현실 [이코노미스트 분석] (해담경제연구소 어예진 소장)	25분	
25	2pBrYs8rhys	영장 없이 계좌 본다 '부동산감독원' 온다 (언더스탠딩 백종훈 기자)	39분	
26	ETfLHFwzhb4	다주택자 때려도 집값 오르는 이유 (분전 아카데미 김건우 대표)	81분	
