날짜,제목,발표자,소속,원제목,링크
2026-08-24,The Agent Behind the Curtain: Building the Oz Cloud Agent Platform,Safia Abdalla,Warp,"The Agent Behind the Curtain: Building the Oz Cloud Agent Platform — Safia Abdalla, Warp",https://youtu.be/L173Z8DpaJg
2026-08-24,Inside 847 Production Clinical AI Notes,Sebastian Fox,Composo,"Inside 847 Production Clinical AI Notes — Sebastian Fox, Composo",https://youtu.be/yqF6XhzbWBk
2026-08-24,Agent Frameworks Considered Harmful,Rémi Louf,.txt,"Agent Frameworks Considered Harmful — Rémi Louf, .txt",https://youtu.be/KHudyx5wW3U
2026-08-24,Coding Agents Don't Scale Themselves. Neither Do Your Teams.,Patrick Debois,Tessl,"Coding Agents Don't Scale Themselves. Neither Do Your Teams. — Patrick Debois, Tessl",https://youtu.be/zCJtYuqwm7E
2026-08-24,Preferences Over Benchmarks: Model Routing,Archana Kamath & Tyler Gillam,DigitalOcean,"Preferences Over Benchmarks: Model Routing — Archana Kamath & Tyler Gillam, DigitalOcean",https://youtu.be/FvxY8oPoI8o
2026-08-23,What If Your Chip Design Team Moved Like a Single Body?,Abduallah Mohamed,AIDAChip,"What If Your Chip Design Team Moved Like a Single Body? — Abduallah Mohamed, AIDAChip",https://youtu.be/0I6aoPSRzVc
2026-08-23,FinOps for AI Agents: Who Spent All the Tokens?,Tisha Chawla & Susheem Koul,Microsoft,"FinOps for AI Agents: Who Spent All the Tokens? — Tisha Chawla & Susheem Koul, Microsoft",https://youtu.be/GJX19pNhmSw
2026-08-23,"Give the Agent a Budget, Not a Token",Sachin Malhotra,Anthropic,"Give the Agent a Budget, Not a Token — Sachin Malhotra, Anthropic",https://youtu.be/rbjWzZK2LU0
2026-08-23,"Building Agents Is Trivial Now, Context Is the Next Frontier",Jeff Ng,Unblocked,"Building Agents Is Trivial Now, Context Is the Next Frontier — Jeff Ng, Unblocked",https://youtu.be/HvMyYLTfvhg
2026-08-22,The Missing Layer: Design Taste in AI Agents,Hassan El Mghari,Together AI,"The Missing Layer: Design Taste in AI Agents — Hassan El Mghari, Together AI",https://youtu.be/7GMKdpLsxwU
2026-08-22,Agentic SDLC at Uber,Uday Kiran Medisetty & Adam Huda,Uber,"Agentic SDLC at Uber — Uday Kiran Medisetty & Adam Huda, Uber",https://youtu.be/17-YSUHo6Lk
2026-08-22,Unlock Agent Autonomy: The Runtime for AI-Native Systems,Tushar Jain,Docker,"Unlock Agent Autonomy: The Runtime for AI-Native Systems — Tushar Jain, Docker",https://youtu.be/zaGyGgLW3SM
2026-08-22,Your Fine-Tuned Model Is Tech Debt: A 50x ROI House of Cards,Dan Bjornn,Lease End,"Your Fine-Tuned Model Is Tech Debt: A 50x ROI House of Cards — Dan Bjornn, Lease End",https://youtu.be/4loPnxvWWhg
2026-08-22,How I automate my own job at Hugging Face using agents,Niels Rogge,Hugging Face,"How I automate my own job at Hugging Face using agents — Niels Rogge, Hugging Face",https://youtu.be/FLUoowDJg4I
2026-08-21,The Era of Compound Engineering,Kieran Klaassen,Every/Cora,"The Era of Compound Engineering — Kieran Klaassen, Every/Cora",https://youtu.be/_ehJyfHg1Vk
